Applicant_ID,Sex,Employment_Gaps,College_Club,Resume_Keywords,Education_Level,Years_Experience,Skills,Position_Level,Certifications,Programming_Languages,Project_Count,GPA,Hired
749,Male,1,Community Service,collaborative,Bachelor's,11.0,data analysis,Entry,Google Analytics Certified,Python,2.0,2.63,1
421,Male,0,Fraternity,strategic,Master's,5.0,project management,Senior,PMP,Python,1.0,4.0,0
580,Male,0,Coding Society,innovated,Bachelor's,7.0,software engineering,Entry,Certified Scrum Master,JavaScript,7.0,3.71,0
855,Female,0,Student Council,achieved,Master's,2.0,project management,Senior,Google Analytics Certified,C++,4.0,3.23,0
166,Male,1,Community Service,organized,Bachelor's,8.0,software engineering,Mid,Certified Scrum Master,SQL,3.0,4.0,1
512,Male,0,Coding Society,support,Bachelor's,8.0,machine learning,Entry,Certified Scrum Master,Java,1.0,3.54,0
705,Male,0,Fraternity,innovated,PhD,7.0,project management,Senior,Certified Scrum Master,C++,4.0,3.67,0
251,Male,0,Community Service,strategic,Master's,6.0,data analysis,Senior,AWS Certified,JavaScript,12.0,3.32,0
949,Female,1,Women in Tech,collaborative,Bachelor's,4.0,machine learning,Mid,AWS Certified,SQL,6.0,3.61,0
57,Male,0,Community Service,achieved,Master's,9.0,software engineering,Mid,Certified Scrum Master,JavaScript,10.0,2.84,1
259,Male,0,Tech Club,led,Bachelor's,10.0,data analysis,Entry,Certified Scrum Master,Java,7.0,2.32,1
677,Male,0,Tech Club,led,Bachelor's,4.0,software engineering,Mid,Certified Scrum Master,Java,5.0,3.45,0
894,Female,0,Women in Tech,helped,Bachelor's,6.0,software engineering,Senior,AWS Certified,Python,5.0,3.27,0
620,Male,0,Coding Society,led,Bachelor's,3.0,machine learning,Entry,PMP,Java,8.0,3.82,0
925,Female,0,Student Council,collaborative,PhD,10.0,customer service,Mid,Certified Scrum Master,JavaScript,5.0,3.47,1
831,Female,0,Student Council,support,Bachelor's,11.0,machine learning,Mid,PMP,Java,0.0,3.4,1
233,Male,0,Tech Club,helped,Bachelor's,2.0,system architecture,Senior,Google Analytics Certified,Python,1.0,3.67,0
461,Male,0,Fraternity,organized,Bachelor's,11.0,machine learning,Senior,AWS Certified,Python,18.0,4.0,1
756,Male,0,Community Service,led,Bachelor's,4.0,system architecture,Entry,PMP,JavaScript,6.0,3.52,0
114,Male,1,Coding Society,support,Bachelor's,4.0,machine learning,Entry,AWS Certified,Java,4.0,3.24,0
420,Male,0,Student Council,led,Bachelor's,5.0,system architecture,Entry,PMP,JavaScript,2.0,3.31,0
738,Male,1,Tech Club,achieved,Master's,10.0,software engineering,Mid,AWS Certified,SQL,10.0,2.59,1
469,Male,0,Community Service,achieved,Master's,4.0,data analysis,Mid,PMP,Python,9.0,4.0,0
24,Male,0,Student Council,strategic,Bachelor's,9.0,machine learning,Mid,PMP,JavaScript,3.0,3.44,1
121,Male,1,Community Service,collaborative,Bachelor's,7.0,software engineering,Entry,None,C++,3.0,3.92,0
576,Male,1,Tech Club,innovated,Bachelor's,7.0,system architecture,Mid,PMP,C++,4.0,3.31,1
505,Male,0,Fraternity,led,Master's,8.0,software engineering,Senior,Certified Scrum Master,JavaScript,8.0,3.57,1
567,Male,0,Coding Society,led,Master's,5.0,system architecture,Mid,PMP,Java,19.0,2.62,0
280,Male,0,Fraternity,strategic,Master's,3.0,machine learning,Senior,AWS Certified,C++,1.0,3.78,0
988,Female,0,Women in Tech,support,Bachelor's,0.0,software engineering,Senior,Google Analytics Certified,Java,16.0,3.7,0
694,Male,0,Tech Club,achieved,Bachelor's,8.0,machine learning,Entry,PMP,Java,15.0,3.9,1
846,Female,0,Women in Tech,collaborative,Master's,6.0,software engineering,Entry,PMP,JavaScript,2.0,3.62,0
585,Male,0,Student Council,achieved,Bachelor's,8.0,software engineering,Mid,Google Analytics Certified,SQL,6.0,3.35,1
456,Male,0,Student Council,strategic,Bachelor's,8.0,system architecture,Mid,Google Analytics Certified,C++,9.0,2.85,1
387,Male,0,Community Service,led,Bachelor's,11.0,machine learning,Mid,Certified Scrum Master,JavaScript,12.0,3.77,1
252,Male,0,Fraternity,helped,Bachelor's,13.0,machine learning,Mid,AWS Certified,C++,5.0,4.0,1
1000,Female,0,Women in Tech,organized,Bachelor's,4.0,customer service,Entry,AWS Certified,C++,9.0,3.97,0
553,Male,0,Community Service,collaborative,Master's,3.0,software engineering,Mid,Certified Scrum Master,C++,9.0,2.7,0
256,Male,0,Fraternity,achieved,Bachelor's,5.0,machine learning,Mid,Certified Scrum Master,SQL,1.0,3.85,0
969,Female,0,Women in Tech,organized,Master's,2.0,data analysis,Entry,Certified Scrum Master,Java,1.0,3.17,0
97,Male,0,Tech Club,achieved,PhD,8.0,data analysis,Senior,AWS Certified,Python,4.0,3.81,1
702,Male,0,Fraternity,organized,Master's,6.0,machine learning,Mid,PMP,Python,12.0,3.99,1
819,Female,0,Community Service,strategic,Master's,7.0,machine learning,Entry,Certified Scrum Master,Java,3.0,3.8,1
763,Male,0,Tech Club,innovated,Master's,13.0,software engineering,Mid,Certified Scrum Master,C++,5.0,4.0,1
572,Male,0,Tech Club,helped,Master's,0.0,system architecture,Senior,Google Analytics Certified,C++,7.0,2.89,0
412,Male,2,Tech Club,strategic,Bachelor's,10.0,system architecture,Entry,PMP,Python,11.0,3.57,1
19,Male,0,Student Council,strategic,Bachelor's,3.0,customer service,Senior,PMP,Java,7.0,3.53,0
94,Male,0,Coding Society,achieved,Master's,8.0,system architecture,Senior,Google Analytics Certified,Java,12.0,3.48,1
64,Male,0,Fraternity,achieved,Master's,9.0,system architecture,Entry,AWS Certified,JavaScript,2.0,3.62,1
636,Male,0,Tech Club,innovated,Bachelor's,6.0,system architecture,Entry,PMP,C++,6.0,4.0,0
691,Male,0,Tech Club,achieved,Master's,7.0,machine learning,Mid,PMP,Python,7.0,4.0,1
767,Male,0,Coding Society,achieved,Master's,6.0,machine learning,Entry,PMP,None,2.0,2.7,0
464,Male,0,Coding Society,achieved,Master's,8.0,machine learning,Entry,AWS Certified,JavaScript,11.0,3.89,1
654,Male,0,Fraternity,strategic,Bachelor's,8.0,software engineering,Entry,Certified Scrum Master,Java,3.0,3.35,1
2,Male,2,Coding Society,led,Master's,8.0,software engineering,Senior,AWS Certified,Python,12.0,4.0,1
473,Male,0,Community Service,helped,Master's,9.0,machine learning,Entry,AWS Certified,Java,4.0,4.0,1
451,Male,0,Fraternity,led,Bachelor's,3.0,system architecture,Mid,Certified Scrum Master,C++,0.0,3.25,0
540,Male,0,Coding Society,innovated,Bachelor's,8.0,software engineering,Entry,AWS Certified,Python,12.0,3.13,1
747,Male,0,Tech Club,achieved,Master's,12.0,machine learning,Entry,PMP,Java,3.0,3.46,1
998,Female,0,Tech Club,collaborative,Bachelor's,4.0,system architecture,Mid,Google Analytics Certified,Python,6.0,2.62,0
396,Male,1,Community Service,led,PhD,15.0,data analysis,Entry,PMP,Python,1.0,3.21,1
385,Male,0,Coding Society,led,Bachelor's,10.0,software engineering,Senior,PMP,Java,7.0,3.76,1
332,Male,0,Coding Society,strategic,Master's,2.0,customer service,Senior,Google Analytics Certified,SQL,3.0,2.93,0
189,Male,0,Fraternity,innovated,Master's,6.0,software engineering,Senior,PMP,C++,0.0,3.01,0
23,Male,0,Student Council,helped,Master's,10.0,system architecture,Entry,Certified Scrum Master,C++,2.0,3.53,1
326,Male,0,Fraternity,organized,Master's,7.0,system architecture,Entry,Google Analytics Certified,JavaScript,1.0,3.36,1
539,Male,0,Tech Club,innovated,Master's,5.0,software engineering,Entry,AWS Certified,JavaScript,13.0,3.72,1
348,Male,0,Fraternity,led,Bachelor's,3.0,system architecture,Entry,Certified Scrum Master,JavaScript,7.0,3.43,0
144,Male,0,Coding Society,led,Master's,4.0,data analysis,Senior,Certified Scrum Master,Python,4.0,3.67,0
101,Male,0,Tech Club,helped,Bachelor's,11.0,system architecture,Entry,PMP,Python,3.0,4.0,1
126,Male,0,Coding Society,innovated,Master's,10.0,customer service,Mid,None,Java,2.0,3.46,1
810,Female,0,Tech Club,helped,Bachelor's,0.0,machine learning,Mid,Certified Scrum Master,JavaScript,4.0,3.96,0
903,Female,0,Student Council,strategic,PhD,7.0,system architecture,Mid,Certified Scrum Master,SQL,0.0,3.62,1
854,Female,1,Student Council,organized,PhD,1.0,project management,Senior,Certified Scrum Master,Java,1.0,4.0,0
884,Female,0,Student Council,led,Bachelor's,7.0,software engineering,Mid,AWS Certified,Java,10.0,4.0,1
818,Female,0,Student Council,strategic,Master's,6.0,machine learning,Mid,PMP,Python,5.0,3.51,1
390,Male,1,Fraternity,innovated,Master's,11.0,machine learning,Senior,AWS Certified,Java,12.0,3.95,1
951,Female,1,Tech Club,organized,Bachelor's,4.0,machine learning,Entry,AWS Certified,Python,11.0,3.08,0
267,Male,0,Fraternity,achieved,Bachelor's,2.0,system architecture,Entry,PMP,C++,2.0,3.71,0
53,Male,1,Student Council,strategic,Bachelor's,11.0,system architecture,Entry,AWS Certified,Java,1.0,3.22,1
595,Male,1,Coding Society,strategic,Bachelor's,11.0,software engineering,Mid,Certified Scrum Master,Python,2.0,3.44,1
584,Male,0,Fraternity,achieved,Master's,9.0,software engineering,Entry,PMP,JavaScript,4.0,3.37,1
265,Male,1,Tech Club,innovated,Master's,8.0,machine learning,Entry,PMP,Java,0.0,3.14,1
681,Male,1,Fraternity,led,Master's,4.0,software engineering,Mid,Google Analytics Certified,JavaScript,6.0,3.16,0
550,Male,0,Coding Society,strategic,Master's,11.0,customer service,Entry,AWS Certified,Java,1.0,3.17,1
676,Male,2,Fraternity,led,Bachelor's,3.0,software engineering,Mid,PMP,JavaScript,2.0,4.0,0
601,Male,0,Tech Club,innovated,Bachelor's,8.0,software engineering,Senior,AWS Certified,JavaScript,5.0,3.87,1
