Person Number,Sex,Race,Age,Undergraduate School Name,Undergraduate GPA,Undergraduate Major,Graduate School Name,Graduate GPA,Graduate Major,Activity1,Activity2,Activity3,Activity4,Activity5,Activity6,Activity7,Skill1,Skill2,Skill3,Skill4,Skill5,Is Employed
33,Female,Black,32,Weizmann Institute of Science,3.6,Aerospace Engineering,Princeton University,3.7,Mathematics,Varsity Volleyball,Varsity Women's Track & Field,Engineers without Borders,Tau Beta Pi,Habitat for Humanity,IEEE,ASME,C++,Simulink,Robotics,Math,Presenting,1,
34,Female,Asian,37,Swiss Federal Institute of Technology in Zurich,3.6,Mechanical Engineering,University of Tokyo,3.6,Computer Engineering,Varsity Women's Soccer,Varsity Volleyball,Student Government,Tau Beta Pi,Economics Club,Hacking Club,ASME,Microsoft Excel,Python,Communication,Simulink,CAD,1,
35,Female,Other,23,University of Texas Southwestern Medical Center,3.2,Mathematics,,,,Varsity Women's Track & Field,Varsity Women's Soccer,Electric Vehicles Club,Habitat for Humanity,Rocket Club,Economics Club,,CAD,C++,Simulink,Python,,1,
36,Female,Black,23,University of Chicago,3.6,Mechanical Engineering,Columbia University,3.5,Aerospace Engineering,Varsity Field Hockey,Varsity Volleyball,AIAA,Ultimate Frisbee,Student Government,Economics Club,Robotics Club,C++,Presenting,Coding,CAD,Math,1,
37,Female,Other,26,Columbia University,3.5,Electrical Engineering,Columbia University,3.7,Electrical Engineering,Sorority,Society of Women Engineers,ASME,Rocket Club,Aviation Club,Ultimate Frisbee,Habitat for Humanity,Robotics,Matlab,Microsoft Excel,Communication,ROS,1,
38,Female,Black,25,Cornell University,3.4,Mathematics,,,,Varsity Women's Track & Field,Sorority,Ultimate Frisbee,Electric Vehicles Club,AIAA,Economics Club,,Communication,Robotics,C++,Simulation,,1,
39,Female,Unspecified,30,Kyoto University,3.5,Physics,,,,Sorority,Society of Women Engineers,Habitat for Humanity,Economics Club,Electric Vehicles Club,Rocket Club,,Simulink,ROS,Robotics,Simulation,,1,
40,Female,Hispanic,23,Weizmann Institute of Science,3.2,Electrical Engineering,,,,Varsity Women's Soccer,Varsity Volleyball,Engineers without Borders,Aviation Club,Rocket Club,Electric Vehicles Club,,Prototyping,Math,Simulation,CAD,,1,
41,Female,Unspecified,38,University of Pennsylvania,3.3,Computer Engineering,,,,Society of Women Engineers,Varsity Women's Soccer,Rocket Club,ASME,Hacking Club,Electric Vehicles Club,,Robotics,Simulation,C++,Presenting,,1,
42,Female,Asian,23,Weizmann Institute of Science,3.6,Aerospace Engineering,Harvard University,3.6,Mechanical Engineering,Varsity Women's Track & Field,Varsity Volleyball,Robotics Club,Student Government,Tau Beta Pi,Economics Club,Aviation Club,Microsoft Excel,Communication,Prototyping,Experimental Design,Python,1,
43,Female,Other,24,Kyoto University,3.6,Aerospace Engineering,California Institute of Technology,3.7,Mathematics,Varsity Women's Soccer,Varsity Volleyball,Robotics Club,Tau Beta Pi,Ultimate Frisbee,Engineers without Borders,AIAA,Microsoft Excel,Presenting,Experimental Design,Simulink,LaTeX,1,
44,Female,Black,23,Imperial College London,3.2,Aerospace Engineering,,,,Varsity Field Hockey,Varsity Women's Track & Field,Rocket Club,ASME,Electric Vehicles Club,Habitat for Humanity,,CAD,Coding,Microsoft Word,Prototyping,,1,
45,Female,Hispanic,30,New York University,3.3,Computer Engineering,,,,Varsity Women's Track & Field,Sorority,ASME,Economics Club,Hacking Club,AIAA,,Robotics,ROS,Presenting,Math,,1,
46,Female,Black,32,University of Pennsylvania,3.4,Aerospace Engineering,,,,Varsity Field Hockey,Society of Women Engineers,Electric Vehicles Club,Hacking Club,IEEE,Tau Beta Pi,,Simulation,C++,Presenting,Prototyping,,1,
47,Female,Hispanic,36,University of California Los Angeles,3.4,Computer Engineering,,,,Varsity Women's Track & Field,Varsity Women's Soccer,Student Government,Habitat for Humanity,ASME,Rocket Club,,Prototyping,Matlab,Simulation,Communication,,1,
48,Female,Unspecified,31,Imperial College London,3.5,Computer Engineering,,,,Society of Women Engineers,Sorority,ASME,AIAA,Ultimate Frisbee,Aviation Club,,Presenting,CAD,Simulink,Coding,,1,
49,Female,White,39,University of California San Francisco,3.5,Mathematics,,,,Varsity Field Hockey,Sorority,Student Government,Engineers without Borders,Electric Vehicles Club,Tau Beta Pi,,Coding,CAD,Communication,LaTeX,,1,
50,Female,White,38,Columbia University,3.6,Mathematics,University of California Berkeley,3.7,Mathematics,Varsity Women's Soccer,Varsity Volleyball,Robotics Club,Rocket Club,Electric Vehicles Club,Student Government,Tau Beta Pi,Simulation,Communication,Microsoft Excel,Simulink,Experimental Design,1,
51,Female,Unspecified,32,Rockefeller University,3.5,Aerospace Engineering,,,,Varsity Field Hockey,Varsity Women's Track & Field,Hacking Club,ASME,IEEE,Engineers without Borders,,Math,Microsoft Word,ROS,Python,,1,
52,Female,Black,23,Kyoto University,3.5,Mechanical Engineering,University of Chicago,3.7,Aerospace Engineering,Varsity Field Hockey,Varsity Women's Track & Field,Electric Vehicles Club,Engineers without Borders,Tau Beta Pi,Student Government,Aviation Club,Simulation,Prototyping,Coding,Presenting,Robotics,1,
53,Female,White,37,Stanford University,3.6,Mathematics,Swiss Federal Institute of Technology in Zurich,3.5,Aerospace Engineering,Varsity Women's Track & Field,Sorority,Rocket Club,ASME,IEEE,Habitat for Humanity,Student Government,C++,Presenting,Coding,Math,Communication,1,
54,Female,Black,27,Swiss Federal Institute of Technology in Zurich,3.3,Mechanical Engineering,,,,Sorority,Varsity Field Hockey,Robotics Club,AIAA,Ultimate Frisbee,Hacking Club,,C++,Matlab,Python,Robotics,,1,
55,Female,Hispanic,31,Johns Hopkins University,3.3,Electrical Engineering,,,,Varsity Volleyball,Sorority,Rocket Club,Electric Vehicles Club,Economics Club,Habitat for Humanity,,Microsoft Excel,Python,CAD,Experimental Design,,1,
56,Female,Black,35,Hebrew University of Jerusalem,3.3,Mechanical Engineering,,,,Varsity Women's Soccer,Society of Women Engineers,Aviation Club,AIAA,Tau Beta Pi,Habitat for Humanity,,Matlab,Simulink,Presenting,Experimental Design,,1,
57,Female,Other,26,University of Chicago,3.5,Mathematics,Harvard University,3.5,Electrical Engineering,Varsity Women's Track & Field,Varsity Volleyball,Engineers without Borders,IEEE,Ultimate Frisbee,Student Government,Economics Club,Simulink,Microsoft Excel,Communication,Simulation,Matlab,1,
58,Female,Black,30,Johns Hopkins University,3.5,Computer Engineering,Yale University,3.6,Computer Engineering,Varsity Women's Track & Field,Varsity Field Hockey,Aviation Club,Student Government,Economics Club,Tau Beta Pi,IEEE,Microsoft Excel,Prototyping,Presenting,Communication,Simulink,1,
59,Female,Asian,32,University of California Berkeley,3.7,Computer Engineering,University of California Los Angeles,3.7,Aerospace Engineering,Varsity Field Hockey,Varsity Women's Track & Field,Student Government,Aviation Club,Engineers without Borders,Economics Club,Robotics Club,Simulation,Math,Robotics,Simulink,Matlab,1,
60,Female,Black,35,Stanford University,3.7,Mechanical Engineering,Princeton University,3.5,Physics,Varsity Volleyball,Varsity Field Hockey,ASME,Tau Beta Pi,Electric Vehicles Club,Habitat for Humanity,Rocket Club,Prototyping,C++,Coding,Matlab,Python,1,
61,Female,Black,37,Weizmann Institute of Science,3.2,Aerospace Engineering,,,,Varsity Field Hockey,Varsity Women's Soccer,ASME,IEEE,Aviation Club,Robotics Club,,Microsoft Word,Prototyping,Experimental Design,LaTeX,,1,
62,Female,Hispanic,32,Rockefeller University,3.4,Computer Engineering,,,,Varsity Women's Track & Field,Varsity Volleyball,ASME,Student Government,Rocket Club,AIAA,,LaTeX,Python,ROS,Presenting,,1,
63,Female,Other,25,Columbia University,3.6,Physics,University of California Los Angeles,3.7,Mechanical Engineering,Varsity Field Hockey,Varsity Women's Soccer,Engineers without Borders,Ultimate Frisbee,AIAA,Robotics Club,Hacking Club,Simulink,Simulation,CAD,Python,Coding,1,
64,Female,Asian,25,University of Pennsylvania,3.5,Physics,,,,Varsity Field Hockey,Varsity Women's Track & Field,Robotics Club,Student Government,IEEE,Electric Vehicles Club,,Communication,Matlab,Prototyping,Simulink,,1,
65,Female,Black,29,University of California Berkeley,3.4,Electrical Engineering,,,,Varsity Women's Track & Field,Society of Women Engineers,IEEE,Ultimate Frisbee,Student Government,Economics Club,,Presenting,LaTeX,Python,Simulink,,1,
66,Female,Other,27,Imperial College London,3.2,Electrical Engineering,,,,Varsity Women's Track & Field,Varsity Women's Soccer,Robotics Club,AIAA,Hacking Club,Student Government,,Presenting,Coding,Robotics,C++,,1,
67,Female,Asian,32,Princeton University,3.5,Mechanical Engineering,Yale University,3.5,Electrical Engineering,Society of Women Engineers,Varsity Women's Track & Field,AIAA,Economics Club,ASME,IEEE,Engineers without Borders,Microsoft Excel,Communication,Prototyping,Python,C++,1,
68,Female,Black,32,New York University,3.3,Electrical Engineering,,,,Sorority,Varsity Volleyball,Electric Vehicles Club,Tau Beta Pi,Student Government,IEEE,,Matlab,CAD,Microsoft Word,C++,,1,
69,Female,Black,32,Kyoto University,3.3,Physics,,,,Society of Women Engineers,Varsity Women's Soccer,ASME,Robotics Club,Economics Club,Rocket Club,,Microsoft Excel,Experimental Design,ROS,Communication,,1,
70,Female,Unspecified,32,Swiss Federal Institute of Technology in Zurich,3.6,Mechanical Engineering,Johns Hopkins University,3.7,Electrical Engineering,Sorority,Varsity Volleyball,Rocket Club,Ultimate Frisbee,Robotics Club,Habitat for Humanity,Electric Vehicles Club,Prototyping,Python,C++,CAD,Math,1,
71,Female,Unspecified,37,Stanford University,3.7,Mechanical Engineering,University of Cambridge,3.6,Electrical Engineering,Varsity Women's Soccer,Sorority,Hacking Club,Habitat for Humanity,Student Government,Robotics Club,IEEE,Presenting,Experimental Design,Python,Simulink,Simulation,1,
72,Female,Black,22,Johns Hopkins University,3.7,Electrical Engineering,California Institute of Technology,3.5,Mechanical Engineering,Varsity Volleyball,Varsity Field Hockey,Electric Vehicles Club,IEEE,AIAA,Engineers without Borders,Student Government,Robotics,Microsoft Excel,Simulink,Microsoft Word,Coding,1,
73,Female,Unspecified,27,University of Tokyo,3.3,Mechanical Engineering,,,,Society of Women Engineers,Sorority,Tau Beta Pi,Habitat for Humanity,ASME,IEEE,,C++,Microsoft Excel,Coding,CAD,,1,
74,Female,White,36,University of California Los Angeles,3.6,Electrical Engineering,University of Pennsylvania,3.6,Electrical Engineering,Sorority,Varsity Women's Soccer,ASME,Economics Club,Habitat for Humanity,Electric Vehicles Club,Ultimate Frisbee,Microsoft Excel,Math,Experimental Design,Coding,Simulink,1,
75,Female,Unspecified,31,Johns Hopkins University,3.6,Physics,California Institute of Technology,3.5,Physics,Sorority,Varsity Women's Soccer,Aviation Club,ASME,Student Government,AIAA,Economics Club,Robotics,Math,Prototyping,Presenting,Microsoft Excel,1,
76,Female,Other,23,Imperial College London,3.4,Aerospace Engineering,,,,Society of Women Engineers,Sorority,Ultimate Frisbee,ASME,AIAA,Habitat for Humanity,,Microsoft Excel,Matlab,ROS,Robotics,,1,
77,Female,Asian,39,University of California Los Angeles,3.6,Physics,University of Chicago,3.5,Mechanical Engineering,Varsity Women's Track & Field,Varsity Women's Soccer,Tau Beta Pi,Ultimate Frisbee,AIAA,Student Government,Engineers without Borders,Microsoft Word,LaTeX,Matlab,Coding,Presenting,1,
78,Female,Black,32,University of California San Francisco,3.3,Mechanical Engineering,,,,Sorority,Varsity Women's Track & Field,Tau Beta Pi,Electric Vehicles Club,Ultimate Frisbee,ASME,,Simulink,Python,Experimental Design,ROS,,1,
79,Female,Other,38,Princeton University,3.5,Aerospace Engineering,University of California Berkeley,3.5,Physics,Varsity Women's Track & Field,Sorority,Electric Vehicles Club,Habitat for Humanity,Tau Beta Pi,Aviation Club,Economics Club,Prototyping,Math,LaTeX,Microsoft Word,Robotics,1,
80,Female,Hispanic,37,University of Oxford,3.7,Mathematics,University of Cambridge,3.5,Mathematics,Varsity Volleyball,Varsity Field Hockey,AIAA,IEEE,Economics Club,Habitat for Humanity,ASME,Experimental Design,C++,LaTeX,Matlab,Coding,1,
81,Female,Unspecified,24,University of California Los Angeles,3.3,Computer Engineering,,,,Society of Women Engineers,Varsity Field Hockey,Electric Vehicles Club,Habitat for Humanity,Tau Beta Pi,Robotics Club,,Python,Communication,Simulation,CAD,,1,
82,Female,Asian,34,Harvard University,3.6,Physics,Cornell University,3.6,Aerospace Engineering,Sorority,Society of Women Engineers,IEEE,Student Government,Tau Beta Pi,Hacking Club,Rocket Club,CAD,Python,Matlab,Robotics,LaTeX,1,
83,Female,Other,31,University of California San Francisco,3.3,Mathematics,,,,Sorority,Society of Women Engineers,IEEE,Electric Vehicles Club,Ultimate Frisbee,Aviation Club,,C++,Matlab,Python,Communication,,1,
84,Female,White,37,Massachusetts Institute of Technology,3.7,Electrical Engineering,Princeton University,3.7,Electrical Engineering,Varsity Volleyball,Sorority,Habitat for Humanity,IEEE,Ultimate Frisbee,ASME,Engineers without Borders,Experimental Design,Coding,CAD,LaTeX,Math,1,
85,Female,Other,24,Cornell University,3.4,Mathematics,,,,Varsity Women's Track & Field,Society of Women Engineers,Aviation Club,Robotics Club,Tau Beta Pi,Hacking Club,,Math,Robotics,Presenting,CAD,,1,
86,Female,Other,25,Massachusetts Institute of Technology,3.7,Mechanical Engineering,Stanford University,3.5,Computer Engineering,Varsity Field Hockey,Varsity Volleyball,Rocket Club,Student Government,Hacking Club,Robotics Club,Habitat for Humanity,LaTeX,ROS,Matlab,Simulation,Python,1,
87,Female,Unspecified,26,Kyoto University,3.6,Aerospace Engineering,Weizmann Institute of Science,3.6,Mechanical Engineering,Varsity Women's Soccer,Sorority,Engineers without Borders,Student Government,Habitat for Humanity,Economics Club,ASME,Microsoft Word,ROS,Matlab,Math,Communication,1,
88,Female,Other,33,Cornell University,3.2,Physics,,,,Varsity Field Hockey,Varsity Women's Track & Field,AIAA,Tau Beta Pi,Engineers without Borders,Robotics Club,,Simulink,C++,ROS,Matlab,,1,
89,Female,Hispanic,25,University of Pennsylvania,3.6,Electrical Engineering,Johns Hopkins University,3.5,Aerospace Engineering,Society of Women Engineers,Varsity Volleyball,Electric Vehicles Club,Ultimate Frisbee,Aviation Club,Engineers without Borders,AIAA,LaTeX,Robotics,Simulink,Simulation,Math,1,
90,Female,White,25,University of Tokyo,3.5,Mathematics,,,,Varsity Women's Track & Field,Society of Women Engineers,Tau Beta Pi,Electric Vehicles Club,Student Government,Rocket Club,,LaTeX,Coding,Robotics,Simulink,,1,
91,Female,Asian,35,University of Illinois at Urbana–Champaign,3.5,Physics,,,,Society of Women Engineers,Varsity Women's Soccer,Rocket Club,Ultimate Frisbee,Hacking Club,AIAA,,Microsoft Word,Simulink,Python,CAD,,1,
92,Female,Black,32,University of California San Diego,3.2,Mechanical Engineering,,,,Varsity Field Hockey,Varsity Volleyball,Robotics Club,Aviation Club,AIAA,Student Government,,Simulink,CAD,Python,Experimental Design,,1,
93,Female,Unspecified,25,Cornell University,3.5,Computer Engineering,University of Cambridge,3.7,Physics,Society of Women Engineers,Varsity Volleyball,IEEE,Rocket Club,Hacking Club,Engineers without Borders,Robotics Club,LaTeX,Microsoft Word,Python,Simulink,CAD,1,
94,Female,White,37,New York University,3.2,Electrical Engineering,,,,Varsity Women's Soccer,Varsity Field Hockey,IEEE,Engineers without Borders,Electric Vehicles Club,Rocket Club,,Python,Simulink,Microsoft Word,CAD,,1,
95,Female,Asian,28,Stanford University,3.7,Computer Engineering,Weizmann Institute of Science,3.5,Electrical Engineering,Varsity Field Hockey,Society of Women Engineers,Robotics Club,Aviation Club,Engineers without Borders,Economics Club,Ultimate Frisbee,Python,Presenting,LaTeX,Simulation,Math,1,
96,Female,Other,24,Johns Hopkins University,3.3,Aerospace Engineering,,,,Varsity Women's Track & Field,Sorority,ASME,Rocket Club,Habitat for Humanity,Hacking Club,,Robotics,LaTeX,Matlab,Coding,,1,
97,Female,Other,29,University of Cambridge,3.5,Mechanical Engineering,Harvard University,3.6,Aerospace Engineering,Varsity Field Hockey,Varsity Volleyball,Aviation Club,Engineers without Borders,Hacking Club,Student Government,Ultimate Frisbee,C++,Prototyping,Communication,Microsoft Word,Simulation,1,
98,Female,White,30,University of Pennsylvania,3.7,Electrical Engineering,University of Cambridge,3.7,Mechanical Engineering,Sorority,Varsity Field Hockey,Aviation Club,Electric Vehicles Club,ASME,Hacking Club,IEEE,Microsoft Excel,CAD,ROS,C++,Prototyping,1,
99,Female,White,22,Cornell University,3.2,Physics,,,,Varsity Women's Soccer,Varsity Volleyball,Aviation Club,Habitat for Humanity,AIAA,Rocket Club,,C++,Matlab,ROS,LaTeX,,1,
100,Female,Black,34,Swiss Federal Institute of Technology in Zurich,3.2,Computer Engineering,,,,Society of Women Engineers,Varsity Women's Soccer,ASME,Tau Beta Pi,Rocket Club,Electric Vehicles Club,,ROS,Simulink,Robotics,Math,,1,
101,Female,Asian,23,University of Pennsylvania,3.3,Physics,,,,Varsity Women's Track & Field,Sorority,IEEE,Aviation Club,Ultimate Frisbee,Rocket Club,,CAD,Python,C++,Robotics,,1,
102,Female,Asian,31,University of Chicago,3.4,Aerospace Engineering,,,,Varsity Women's Track & Field,Varsity Field Hockey,Robotics Club,Engineers without Borders,Economics Club,Student Government,,Simulink,Microsoft Word,ROS,Experimental Design,,1,
103,Female,White,31,Weizmann Institute of Science,3.3,Computer Engineering,,,,Varsity Volleyball,Sorority,Economics Club,Student Government,Robotics Club,IEEE,,Experimental Design,Simulation,Python,Simulink,,1,
104,Female,Asian,35,Stanford University,3.5,Electrical Engineering,University of Oxford,3.5,Computer Engineering,Varsity Women's Track & Field,Varsity Women's Soccer,Student Government,IEEE,Habitat for Humanity,Economics Club,Robotics Club,Communication,Microsoft Excel,LaTeX,Presenting,Experimental Design,1,
105,Female,Asian,26,Columbia University,3.5,Aerospace Engineering,Johns Hopkins University,3.5,Mathematics,Sorority,Varsity Field Hockey,Habitat for Humanity,Ultimate Frisbee,Aviation Club,Engineers without Borders,Hacking Club,Python,ROS,Coding,Microsoft Excel,Matlab,1,
106,Female,Other,37,University of Wisconsin–Madison,3.4,Electrical Engineering,,,,Society of Women Engineers,Varsity Volleyball,Engineers without Borders,ASME,IEEE,Robotics Club,,Coding,CAD,Simulation,Math,,1,
107,Female,White,32,Swiss Federal Institute of Technology in Zurich,3.7,Aerospace Engineering,Massachusetts Institute of Technology,3.6,Computer Engineering,Varsity Volleyball,Varsity Field Hockey,IEEE,Aviation Club,ASME,Student Government,Tau Beta Pi,Matlab,Experimental Design,ROS,Math,Microsoft Excel,1,
108,Female,White,35,Cornell University,3.5,Physics,University of Chicago,3.6,Aerospace Engineering,Varsity Women's Soccer,Society of Women Engineers,Aviation Club,Economics Club,Rocket Club,ASME,IEEE,LaTeX,Simulink,Communication,ROS,Matlab,1,
109,Female,Hispanic,34,Kyoto University,3.5,Electrical Engineering,,,,Varsity Field Hockey,Varsity Women's Track & Field,Robotics Club,Hacking Club,IEEE,Student Government,,Robotics,C++,ROS,Microsoft Excel,,1,
110,Female,Hispanic,33,Rockefeller University,3.4,Aerospace Engineering,,,,Varsity Volleyball,Varsity Women's Soccer,Electric Vehicles Club,Economics Club,Hacking Club,Ultimate Frisbee,,Matlab,Microsoft Excel,Microsoft Word,Simulation,,1,
111,Female,Black,25,University of Wisconsin–Madison,3.5,Mathematics,,,,Varsity Women's Soccer,Sorority,Rocket Club,Electric Vehicles Club,Hacking Club,Robotics Club,,Python,LaTeX,Microsoft Word,Math,,1,
