Person Number,Sex,Race,Age,Undergraduate School Name,Undergraduate GPA,Undergraduate Major,Graduate School Name,Graduate GPA,Graduate Major,Activity1,Activity2,Activity3,Activity4,Activity5,Activity6,Activity7,Skill1,Skill2,Skill3,Skill4,Skill5,Is Employed
10,Female,Hispanic,37,Columbia University,3.6,Computer Engineering,University of Oxford,3.6,Computer Engineering,Varsity Volleyball,Varsity Women's Track & Field,Habitat for Humanity,Tau Beta Pi,Student Government,Rocket Club,Economics Club,LaTeX,Matlab,Microsoft Excel,C++,Experimental Design,1,
11,Female,Other,26,California Institute of Technology,3.5,Mechanical Engineering,University of California Los Angeles,3.5,Electrical Engineering,Varsity Women's Soccer,Varsity Field Hockey,Rocket Club,Aviation Club,ASME,Hacking Club,AIAA,CAD,Robotics,Simulink,Math,Simulation,1,
12,Female,White,28,Johns Hopkins University,3.4,Electrical Engineering,,,,Society of Women Engineers,Sorority,IEEE,Electric Vehicles Club,Rocket Club,AIAA,,Experimental Design,Python,Prototyping,CAD,,1,
13,Female,Black,25,New York University,3.3,Mechanical Engineering,,,,Society of Women Engineers,Varsity Women's Track & Field,Tau Beta Pi,AIAA,Student Government,Economics Club,,Simulink,C++,Microsoft Excel,Simulation,,1,
14,Female,Black,38,University of Chicago,3.6,Aerospace Engineering,Swiss Federal Institute of Technology in Zurich,3.5,Mechanical Engineering,Varsity Women's Soccer,Varsity Volleyball,AIAA,Hacking Club,Student Government,Tau Beta Pi,Electric Vehicles Club,Coding,Communication,Experimental Design,LaTeX,Microsoft Excel,1,
15,Female,Asian,32,Duke University,3.2,Mechanical Engineering,,,,Varsity Field Hockey,Society of Women Engineers,Aviation Club,Rocket Club,Hacking Club,Engineers without Borders,,ROS,Microsoft Excel,Experimental Design,Matlab,,1,
16,Female,Unspecified,22,Cornell University,3.5,Mechanical Engineering,California Institute of Technology,3.6,Mathematics,Society of Women Engineers,Varsity Women's Track & Field,Rocket Club,Engineers without Borders,IEEE,Ultimate Frisbee,AIAA,LaTeX,C++,Microsoft Excel,Robotics,ROS,1,
17,Female,Unspecified,22,University of Oxford,3.6,Aerospace Engineering,University of California Los Angeles,3.6,Computer Engineering,Varsity Women's Soccer,Varsity Volleyball,Hacking Club,AIAA,Electric Vehicles Club,Tau Beta Pi,Habitat for Humanity,Prototyping,ROS,Coding,CAD,Communication,1,
18,Female,Asian,24,University of Cambridge,3.6,Aerospace Engineering,University of California Berkeley,3.5,Computer Engineering,Varsity Women's Soccer,Varsity Volleyball,Student Government,Electric Vehicles Club,Hacking Club,ASME,Tau Beta Pi,LaTeX,Python,Coding,Microsoft Word,CAD,1,
19,Female,Asian,39,Princeton University,3.7,Aerospace Engineering,University of Pennsylvania,3.7,Physics,Sorority,Varsity Women's Track & Field,Ultimate Frisbee,Rocket Club,AIAA,Electric Vehicles Club,Engineers without Borders,Experimental Design,ROS,Matlab,Math,Microsoft Word,1,
20,Female,Asian,32,University of Illinois at Urbana–Champaign,3.3,Computer Engineering,,,,Varsity Women's Track & Field,Varsity Field Hockey,Ultimate Frisbee,Economics Club,Tau Beta Pi,Robotics Club,,CAD,Experimental Design,Microsoft Word,Simulation,,1,
21,Female,Hispanic,24,University of California Berkeley,3.4,Electrical Engineering,,,,Society of Women Engineers,Varsity Women's Track & Field,Rocket Club,Tau Beta Pi,Student Government,Aviation Club,,Microsoft Word,Coding,Experimental Design,Prototyping,,1,
22,Female,Hispanic,31,Swiss Federal Institute of Technology in Zurich,3.3,Computer Engineering,,,,Varsity Women's Soccer,Varsity Volleyball,ASME,Electric Vehicles Club,Tau Beta Pi,Rocket Club,,C++,Microsoft Excel,Experimental Design,CAD,,1,
23,Female,Asian,36,Hebrew University of Jerusalem,3.4,Mathematics,,,,Varsity Women's Soccer,Sorority,ASME,Rocket Club,Engineers without Borders,IEEE,,Simulation,Microsoft Word,Robotics,Matlab,,1,
24,Female,Black,23,University of Chicago,3.4,Aerospace Engineering,,,,Society of Women Engineers,Varsity Field Hockey,Rocket Club,AIAA,ASME,IEEE,,C++,Microsoft Excel,Presenting,LaTeX,,1,
25,Female,Black,28,University of California San Francisco,3.3,Computer Engineering,,,,Varsity Women's Soccer,Varsity Volleyball,Engineers without Borders,Electric Vehicles Club,Habitat for Humanity,ASME,,Simulink,Math,ROS,LaTeX,,1,
26,Female,White,27,Imperial College London,3.4,Mechanical Engineering,,,,Sorority,Varsity Women's Soccer,Robotics Club,AIAA,ASME,Engineers without Borders,,C++,LaTeX,Coding,Prototyping,,1,
27,Female,Other,24,Swiss Federal Institute of Technology in Zurich,3.5,Mathematics,University of Cambridge,3.6,Aerospace Engineering,Varsity Field Hockey,Varsity Women's Soccer,Rocket Club,Robotics Club,Habitat for Humanity,Hacking Club,AIAA,Math,Robotics,LaTeX,Presenting,Prototyping,1,
28,Female,Black,30,University of California San Diego,3.2,Physics,,,,Varsity Volleyball,Varsity Field Hockey,Aviation Club,AIAA,Electric Vehicles Club,Ultimate Frisbee,,ROS,C++,Presenting,LaTeX,,1,
29,Female,Black,36,Swiss Federal Institute of Technology in Zurich,3.2,Electrical Engineering,,,,Varsity Women's Track & Field,Sorority,Habitat for Humanity,Engineers without Borders,Hacking Club,Economics Club,,Simulink,Prototyping,Math,Communication,,1,
30,Female,Other,28,Johns Hopkins University,3.3,Physics,,,,Varsity Volleyball,Varsity Women's Soccer,AIAA,ASME,Robotics Club,Habitat for Humanity,,Prototyping,Robotics,Communication,Simulation,,1,
31,Female,Other,38,Hebrew University of Jerusalem,3.4,Mathematics,,,,Varsity Volleyball,Varsity Women's Track & Field,Tau Beta Pi,Student Government,Electric Vehicles Club,Engineers without Borders,,Communication,Experimental Design,Robotics,Simulation,,1,
32,Female,Black,33,Kyoto University,3.5,Mechanical Engineering,,,,Varsity Women's Track & Field,Society of Women Engineers,Ultimate Frisbee,Aviation Club,Rocket Club,Economics Club,,Communication,CAD,Simulink,Microsoft Word,,1,
33,Female,Unspecified,26,University of California Berkeley,3.5,Electrical Engineering,,,,Varsity Field Hockey,Varsity Volleyball,Engineers without Borders,ASME,Habitat for Humanity,Hacking Club,,Simulation,Coding,Presenting,C++,,1,
34,Female,Black,24,Kyoto University,3.6,Computer Engineering,Columbia University,3.5,Aerospace Engineering,Society of Women Engineers,Varsity Women's Soccer,Rocket Club,ASME,Economics Club,Robotics Club,Electric Vehicles Club,Prototyping,Microsoft Word,LaTeX,Simulink,C++,1,
35,Female,Unspecified,25,Cornell University,3.7,Aerospace Engineering,Harvard University,3.7,Mathematics,Society of Women Engineers,Varsity Field Hockey,ASME,AIAA,Hacking Club,Rocket Club,Tau Beta Pi,LaTeX,Math,Microsoft Excel,Coding,Microsoft Word,1,
36,Female,Hispanic,36,Duke University,3.3,Physics,,,,Varsity Volleyball,Varsity Women's Soccer,Electric Vehicles Club,Robotics Club,Ultimate Frisbee,Aviation Club,,Communication,Prototyping,Simulink,ROS,,1,
37,Female,White,26,Weizmann Institute of Science,3.5,Computer Engineering,University of California Los Angeles,3.6,Aerospace Engineering,Varsity Volleyball,Varsity Field Hockey,Electric Vehicles Club,Aviation Club,Habitat for Humanity,ASME,Hacking Club,CAD,LaTeX,Microsoft Excel,Math,Robotics,1,
38,Female,Hispanic,34,New York University,3.2,Electrical Engineering,,,,Varsity Women's Track & Field,Society of Women Engineers,Engineers without Borders,ASME,AIAA,Student Government,,Coding,Communication,Simulation,Experimental Design,,1,
39,Female,Unspecified,23,Rockefeller University,3.5,Mathematics,,,,Varsity Field Hockey,Sorority,ASME,Engineers without Borders,Robotics Club,Tau Beta Pi,,LaTeX,Matlab,ROS,Presenting,,1,
40,Female,Hispanic,23,Hebrew University of Jerusalem,3.2,Mechanical Engineering,,,,Society of Women Engineers,Varsity Field Hockey,Economics Club,Engineers without Borders,ASME,Habitat for Humanity,,Math,Coding,Communication,Presenting,,1,
41,Female,Asian,22,University of Pennsylvania,3.5,Mathematics,California Institute of Technology,3.7,Mathematics,Varsity Women's Track & Field,Varsity Volleyball,Student Government,Rocket Club,AIAA,Tau Beta Pi,Electric Vehicles Club,Microsoft Excel,Robotics,Simulation,C++,Coding,1,
42,Female,Asian,36,University of California Berkeley,3.5,Aerospace Engineering,Johns Hopkins University,3.7,Mathematics,Sorority,Varsity Women's Track & Field,ASME,Tau Beta Pi,Ultimate Frisbee,IEEE,Aviation Club,Communication,Prototyping,LaTeX,Microsoft Excel,Simulink,1,
43,Female,Unspecified,23,Johns Hopkins University,3.4,Mechanical Engineering,,,,Varsity Volleyball,Varsity Women's Track & Field,Robotics Club,Economics Club,ASME,Ultimate Frisbee,,Coding,Communication,Matlab,Python,,1,
44,Female,Black,27,University of Texas Southwestern Medical Center,3.5,Aerospace Engineering,,,,Varsity Volleyball,Varsity Women's Soccer,Electric Vehicles Club,Rocket Club,Student Government,Robotics Club,,ROS,Math,Microsoft Excel,Communication,,1,
45,Female,Black,30,Princeton University,3.7,Aerospace Engineering,University of Oxford,3.6,Mechanical Engineering,Society of Women Engineers,Varsity Women's Track & Field,Economics Club,Electric Vehicles Club,Ultimate Frisbee,Tau Beta Pi,Habitat for Humanity,Prototyping,Simulink,Coding,Python,Microsoft Word,1,
46,Female,Unspecified,22,Princeton University,3.5,Aerospace Engineering,Swiss Federal Institute of Technology in Zurich,3.7,Aerospace Engineering,Varsity Field Hockey,Varsity Women's Track & Field,Student Government,Hacking Club,IEEE,Economics Club,Electric Vehicles Club,Microsoft Excel,Matlab,Simulink,Robotics,Microsoft Word,1,
47,Female,White,31,Cornell University,3.7,Electrical Engineering,University of California Berkeley,3.5,Electrical Engineering,Varsity Women's Track & Field,Society of Women Engineers,IEEE,Robotics Club,Electric Vehicles Club,Student Government,Engineers without Borders,Experimental Design,C++,Matlab,Simulation,CAD,1,
48,Female,Asian,23,Stanford University,3.6,Mechanical Engineering,Harvard University,3.6,Physics,Varsity Field Hockey,Sorority,Hacking Club,Student Government,ASME,Engineers without Borders,IEEE,C++,Microsoft Excel,CAD,LaTeX,Simulink,1,
49,Female,Unspecified,26,Cornell University,3.5,Mechanical Engineering,,,,Varsity Field Hockey,Sorority,Ultimate Frisbee,AIAA,Hacking Club,Student Government,,Matlab,Microsoft Excel,Math,Prototyping,,1,
50,Female,Black,29,University of Wisconsin–Madison,3.4,Aerospace Engineering,,,,Varsity Field Hockey,Sorority,Ultimate Frisbee,Robotics Club,Rocket Club,Aviation Club,,CAD,Matlab,Microsoft Excel,Robotics,,1,
51,Female,Unspecified,36,University of Cambridge,3.5,Computer Engineering,Kyoto University,3.6,Aerospace Engineering,Varsity Volleyball,Society of Women Engineers,Habitat for Humanity,Aviation Club,AIAA,IEEE,Robotics Club,Matlab,Communication,Python,Prototyping,Simulink,1,
52,Female,Asian,34,University of Tokyo,3.2,Electrical Engineering,,,,Varsity Field Hockey,Society of Women Engineers,Robotics Club,Hacking Club,Student Government,AIAA,,C++,Coding,Math,Python,,1,
53,Female,Other,33,University of Chicago,3.5,Computer Engineering,Princeton University,3.6,Mechanical Engineering,Sorority,Varsity Volleyball,IEEE,ASME,AIAA,Rocket Club,Ultimate Frisbee,CAD,Math,C++,Simulink,Python,1,
54,Female,Black,38,University of Illinois at Urbana–Champaign,3.5,Mathematics,,,,Varsity Women's Track & Field,Society of Women Engineers,Student Government,Ultimate Frisbee,Electric Vehicles Club,Economics Club,,ROS,C++,Matlab,LaTeX,,1,
55,Female,Other,32,University of California San Diego,3.5,Computer Engineering,,,,Varsity Volleyball,Varsity Field Hockey,AIAA,Hacking Club,Electric Vehicles Club,Habitat for Humanity,,Communication,Matlab,Math,LaTeX,,1,
56,Female,White,39,University of Tokyo,3.2,Mathematics,,,,Sorority,Society of Women Engineers,Rocket Club,Tau Beta Pi,AIAA,Economics Club,,Prototyping,Microsoft Word,Microsoft Excel,ROS,,1,
57,Female,Other,33,University of California Los Angeles,3.5,Mathematics,,,,Varsity Field Hockey,Society of Women Engineers,ASME,Tau Beta Pi,Habitat for Humanity,Economics Club,,Simulink,ROS,Coding,Simulation,,1,
58,Female,Hispanic,31,University of California Los Angeles,3.2,Electrical Engineering,,,,Sorority,Society of Women Engineers,ASME,Aviation Club,Tau Beta Pi,Ultimate Frisbee,,Microsoft Excel,Matlab,Experimental Design,Python,,1,
59,Female,White,23,Cornell University,3.5,Computer Engineering,California Institute of Technology,3.7,Electrical Engineering,Sorority,Society of Women Engineers,Tau Beta Pi,Robotics Club,Rocket Club,Student Government,Engineers without Borders,Coding,Communication,Prototyping,CAD,Math,1,
60,Female,Black,29,Duke University,3.4,Physics,,,,Varsity Women's Soccer,Society of Women Engineers,Student Government,Ultimate Frisbee,Engineers without Borders,Robotics Club,,Microsoft Excel,Simulation,C++,ROS,,1,
61,Female,Asian,34,University of Chicago,3.2,Aerospace Engineering,,,,Varsity Field Hockey,Varsity Women's Soccer,Aviation Club,Rocket Club,Hacking Club,Robotics Club,,Python,LaTeX,Simulink,ROS,,1,
62,Female,Unspecified,35,University of Chicago,3.4,Aerospace Engineering,,,,Varsity Volleyball,Society of Women Engineers,Rocket Club,ASME,Aviation Club,Hacking Club,,ROS,Experimental Design,LaTeX,Python,,1,
63,Female,White,29,Weizmann Institute of Science,3.7,Computer Engineering,University of Chicago,3.5,Electrical Engineering,Society of Women Engineers,Sorority,IEEE,Hacking Club,ASME,AIAA,Engineers without Borders,ROS,Communication,Simulink,Python,Experimental Design,1,
64,Female,Asian,25,University of Chicago,3.6,Aerospace Engineering,University of Chicago,3.7,Electrical Engineering,Sorority,Varsity Volleyball,Electric Vehicles Club,AIAA,Rocket Club,Economics Club,Tau Beta Pi,Simulink,ROS,Microsoft Word,Prototyping,C++,1,
65,Female,White,30,University of California Berkeley,3.7,Physics,Weizmann Institute of Science,3.5,Aerospace Engineering,Varsity Field Hockey,Sorority,Rocket Club,Engineers without Borders,Hacking Club,Aviation Club,AIAA,LaTeX,Simulink,ROS,Simulation,Communication,1,
66,Female,White,28,University of California Berkeley,3.6,Mechanical Engineering,Princeton University,3.6,Physics,Varsity Women's Track & Field,Varsity Women's Soccer,IEEE,Aviation Club,Habitat for Humanity,Robotics Club,Student Government,C++,Prototyping,Math,Matlab,Microsoft Excel,1,
67,Female,Other,33,University of Pennsylvania,3.3,Mathematics,,,,Varsity Women's Soccer,Varsity Women's Track & Field,Tau Beta Pi,Electric Vehicles Club,AIAA,Robotics Club,,Microsoft Word,Experimental Design,Math,C++,,1,
68,Female,Black,31,Weizmann Institute of Science,3.5,Computer Engineering,Stanford University,3.6,Physics,Varsity Field Hockey,Society of Women Engineers,Habitat for Humanity,Aviation Club,Ultimate Frisbee,Engineers without Borders,Student Government,CAD,ROS,Simulink,C++,LaTeX,1,
69,Female,Other,24,Imperial College London,3.4,Electrical Engineering,,,,Varsity Volleyball,Varsity Field Hockey,Electric Vehicles Club,Rocket Club,Ultimate Frisbee,Hacking Club,,Communication,Simulation,Python,Simulink,,1,
70,Female,Asian,22,University of California San Francisco,3.2,Electrical Engineering,,,,Varsity Volleyball,Varsity Women's Soccer,Ultimate Frisbee,Electric Vehicles Club,ASME,Hacking Club,,Prototyping,ROS,Microsoft Word,Microsoft Excel,,1,
71,Female,Asian,22,Cornell University,3.7,Mechanical Engineering,Kyoto University,3.7,Aerospace Engineering,Varsity Women's Track & Field,Varsity Field Hockey,Tau Beta Pi,Hacking Club,ASME,Rocket Club,Aviation Club,Presenting,Python,Matlab,CAD,Communication,1,
72,Female,White,30,University of California San Francisco,3.2,Mathematics,,,,Sorority,Varsity Women's Soccer,Hacking Club,Aviation Club,IEEE,Economics Club,,Python,Microsoft Word,Simulink,Communication,,1,
73,Female,Unspecified,34,Kyoto University,3.7,Electrical Engineering,Princeton University,3.5,Mathematics,Varsity Women's Track & Field,Society of Women Engineers,AIAA,Hacking Club,IEEE,Habitat for Humanity,Tau Beta Pi,Robotics,Simulation,Prototyping,Microsoft Word,Experimental Design,1,
74,Female,Black,30,Weizmann Institute of Science,3.3,Mathematics,,,,Varsity Women's Soccer,Sorority,IEEE,Tau Beta Pi,Habitat for Humanity,Aviation Club,,Simulink,LaTeX,Math,Experimental Design,,1,
75,Female,Hispanic,38,University of Illinois at Urbana–Champaign,3.3,Electrical Engineering,,,,Sorority,Varsity Women's Track & Field,Student Government,Hacking Club,Habitat for Humanity,Tau Beta Pi,,Python,Simulation,Matlab,ROS,,1,
76,Female,Black,25,California Institute of Technology,3.7,Physics,Princeton University,3.7,Computer Engineering,Society of Women Engineers,Sorority,Ultimate Frisbee,Student Government,Tau Beta Pi,AIAA,Economics Club,Microsoft Word,LaTeX,Simulation,ROS,C++,1,
77,Female,White,39,New York University,3.5,Computer Engineering,,,,Varsity Field Hockey,Varsity Women's Soccer,Rocket Club,Aviation Club,Student Government,AIAA,,Prototyping,Matlab,Simulink,Simulation,,1,
78,Female,White,29,Swiss Federal Institute of Technology in Zurich,3.7,Mechanical Engineering,California Institute of Technology,3.7,Mathematics,Sorority,Varsity Volleyball,Rocket Club,Economics Club,Ultimate Frisbee,IEEE,AIAA,Coding,Math,Robotics,ROS,Simulation,1,
79,Female,Unspecified,35,Weizmann Institute of Science,3.7,Electrical Engineering,Swiss Federal Institute of Technology in Zurich,3.6,Mechanical Engineering,Varsity Women's Soccer,Varsity Volleyball,Tau Beta Pi,Aviation Club,Student Government,Electric Vehicles Club,AIAA,Prototyping,LaTeX,Simulation,Presenting,Robotics,1,
80,Female,Unspecified,39,Princeton University,3.6,Computer Engineering,University of California Los Angeles,3.7,Mechanical Engineering,Society of Women Engineers,Varsity Women's Track & Field,Engineers without Borders,Robotics Club,Rocket Club,Tau Beta Pi,ASME,Microsoft Word,Python,Robotics,Microsoft Excel,ROS,1,
81,Female,Asian,38,University of Pennsylvania,3.5,Mathematics,Johns Hopkins University,3.5,Aerospace Engineering,Sorority,Varsity Women's Soccer,AIAA,Engineers without Borders,IEEE,Economics Club,ASME,Matlab,Math,CAD,ROS,Simulation,1,
82,Female,Other,38,University of Pennsylvania,3.5,Computer Engineering,,,,Varsity Women's Soccer,Varsity Volleyball,Rocket Club,Aviation Club,Student Government,Habitat for Humanity,,Prototyping,Presenting,Matlab,Communication,,1,
83,Female,Other,34,Harvard University,3.7,Mathematics,University of Cambridge,3.5,Aerospace Engineering,Sorority,Varsity Volleyball,Tau Beta Pi,Economics Club,Ultimate Frisbee,Habitat for Humanity,Hacking Club,Coding,Robotics,Math,Prototyping,Matlab,1,
84,Female,Hispanic,27,Swiss Federal Institute of Technology in Zurich,3.4,Aerospace Engineering,,,,Varsity Field Hockey,Varsity Women's Track & Field,Rocket Club,Hacking Club,ASME,AIAA,,Matlab,Microsoft Word,Presenting,C++,,1,
85,Female,White,24,California Institute of Technology,3.5,Computer Engineering,Cornell University,3.7,Computer Engineering,Sorority,Varsity Volleyball,Tau Beta Pi,IEEE,Robotics Club,Engineers without Borders,Ultimate Frisbee,Prototyping,Communication,Experimental Design,CAD,Presenting,1,
86,Female,Black,37,Princeton University,3.5,Computer Engineering,University of Chicago,3.5,Electrical Engineering,Sorority,Varsity Volleyball,Robotics Club,Electric Vehicles Club,Economics Club,Aviation Club,Rocket Club,C++,Prototyping,Presenting,Simulink,Coding,1,
87,Female,Other,25,Columbia University,3.7,Electrical Engineering,Massachusetts Institute of Technology,3.6,Physics,Varsity Women's Track & Field,Sorority,Engineers without Borders,Rocket Club,Economics Club,Aviation Club,Electric Vehicles Club,ROS,Microsoft Excel,Python,Simulation,Communication,1,
88,Female,White,24,New York University,3.2,Mathematics,,,,Sorority,Varsity Women's Track & Field,Aviation Club,Electric Vehicles Club,Hacking Club,AIAA,,Coding,Math,Python,ROS,,1,
89,Female,Hispanic,30,Harvard University,3.6,Mathematics,University of Chicago,3.7,Mechanical Engineering,Varsity Women's Track & Field,Society of Women Engineers,Ultimate Frisbee,Tau Beta Pi,Aviation Club,Electric Vehicles Club,ASME,Microsoft Word,Python,Robotics,Presenting,Coding,1,
90,Female,Black,37,University of Tokyo,3.2,Aerospace Engineering,,,,Varsity Volleyball,Varsity Women's Soccer,Rocket Club,Economics Club,Habitat for Humanity,Robotics Club,,Matlab,Presenting,CAD,Prototyping,,1,
91,Female,White,39,Yale University,3.6,Mechanical Engineering,Massachusetts Institute of Technology,3.5,Electrical Engineering,Varsity Volleyball,Sorority,AIAA,Ultimate Frisbee,Economics Club,Aviation Club,Student Government,Microsoft Word,LaTeX,Coding,ROS,Experimental Design,1,
92,Female,Unspecified,31,University of Chicago,3.2,Computer Engineering,,,,Varsity Field Hockey,Society of Women Engineers,Robotics Club,Aviation Club,Engineers without Borders,Electric Vehicles Club,,Communication,C++,Simulink,Prototyping,,1,
93,Female,Asian,31,Johns Hopkins University,3.5,Aerospace Engineering,University of Oxford,3.5,Mathematics,Varsity Women's Soccer,Varsity Field Hockey,Tau Beta Pi,ASME,Ultimate Frisbee,Electric Vehicles Club,Robotics Club,Experimental Design,Simulation,Robotics,Prototyping,Simulink,1,
94,Female,Asian,24,Duke University,3.5,Computer Engineering,,,,Varsity Volleyball,Society of Women Engineers,Economics Club,Student Government,Habitat for Humanity,IEEE,,LaTeX,Experimental Design,ROS,Communication,,1,
95,Female,Black,35,University of Wisconsin–Madison,3.5,Physics,,,,Society of Women Engineers,Varsity Volleyball,Habitat for Humanity,Economics Club,Tau Beta Pi,Rocket Club,,Microsoft Word,Math,Prototyping,Simulation,,1,
96,Female,Unspecified,25,Kyoto University,3.5,Computer Engineering,,,,Varsity Women's Track & Field,Society of Women Engineers,Tau Beta Pi,Hacking Club,Ultimate Frisbee,IEEE,,Prototyping,Python,Robotics,Microsoft Word,,1,
97,Female,Other,23,University of Wisconsin–Madison,3.4,Electrical Engineering,,,,Varsity Field Hockey,Sorority,Student Government,Economics Club,Aviation Club,Tau Beta Pi,,Prototyping,Matlab,CAD,Math,,1,
98,Female,White,35,Weizmann Institute of Science,3.3,Mathematics,,,,Varsity Volleyball,Varsity Women's Track & Field,Rocket Club,Engineers without Borders,Economics Club,IEEE,,LaTeX,Python,Matlab,C++,,1,
99,Female,White,23,University of California Berkeley,3.5,Physics,Harvard University,3.6,Mathematics,Sorority,Varsity Women's Soccer,Student Government,Rocket Club,ASME,Economics Club,Robotics Club,C++,Simulink,Microsoft Excel,Matlab,Experimental Design,1,
100,Female,Hispanic,23,Harvard University,3.5,Physics,Yale University,3.6,Mechanical Engineering,Society of Women Engineers,Varsity Women's Track & Field,Habitat for Humanity,Hacking Club,AIAA,Engineers without Borders,Tau Beta Pi,Experimental Design,Presenting,Math,Robotics,Microsoft Word,1,
101,Female,White,24,Weizmann Institute of Science,3.6,Physics,Yale University,3.5,Aerospace Engineering,Society of Women Engineers,Sorority,Ultimate Frisbee,IEEE,Engineers without Borders,Economics Club,Student Government,C++,Prototyping,Microsoft Word,LaTeX,Robotics,1,
102,Female,Unspecified,26,University of Illinois at Urbana–Champaign,3.2,Electrical Engineering,,,,Varsity Women's Track & Field,Varsity Field Hockey,Rocket Club,AIAA,IEEE,ASME,,Presenting,Coding,Simulation,CAD,,1,
103,Female,Unspecified,24,University of Cambridge,3.7,Electrical Engineering,Kyoto University,3.7,Electrical Engineering,Society of Women Engineers,Varsity Women's Soccer,Tau Beta Pi,ASME,Economics Club,Habitat for Humanity,Student Government,Simulation,Simulink,LaTeX,Python,Matlab,1,
104,Female,White,26,Cornell University,3.5,Electrical Engineering,,,,Society of Women Engineers,Varsity Field Hockey,Student Government,AIAA,Ultimate Frisbee,Habitat for Humanity,,Presenting,ROS,Matlab,CAD,,1,
105,Female,Asian,39,University of Wisconsin–Madison,3.5,Computer Engineering,,,,Varsity Women's Track & Field,Sorority,Aviation Club,Robotics Club,Hacking Club,Habitat for Humanity,,Math,Microsoft Excel,Microsoft Word,Simulink,,1,
106,Female,Other,26,Duke University,3.3,Physics,,,,Varsity Field Hockey,Society of Women Engineers,Rocket Club,Ultimate Frisbee,Student Government,Tau Beta Pi,,Communication,Python,C++,ROS,,1,
107,Female,White,38,University of Pennsylvania,3.5,Mathematics,Cornell University,3.7,Mathematics,Varsity Women's Track & Field,Sorority,Electric Vehicles Club,ASME,Student Government,Economics Club,Aviation Club,Math,Matlab,C++,Prototyping,Presenting,1,
108,Female,Unspecified,30,Princeton University,3.6,Aerospace Engineering,University of Oxford,3.7,Aerospace Engineering,Society of Women Engineers,Varsity Women's Soccer,Hacking Club,Rocket Club,IEEE,Tau Beta Pi,Student Government,Experimental Design,Communication,LaTeX,Math,Microsoft Excel,1,
109,Female,Asian,30,University of California San Diego,3.5,Mechanical Engineering,,,,Sorority,Varsity Field Hockey,Engineers without Borders,ASME,IEEE,Economics Club,,Microsoft Excel,Microsoft Word,Communication,Simulink,,1,
110,Female,Other,34,Duke University,3.4,Electrical Engineering,,,,Society of Women Engineers,Varsity Field Hockey,Aviation Club,Habitat for Humanity,IEEE,Hacking Club,,C++,Coding,Microsoft Excel,Simulation,,1,
