Person Number,Sex,Race,Age,Undergraduate School Name,Undergraduate GPA,Undergraduate Major,Graduate School Name,Graduate GPA,Graduate Major,Activity1,Activity2,Activity3,Activity4,Activity5,Activity6,Activity7,Skill1,Skill2,Skill3,Skill4,Skill5,Is Employed
36,1,3,34,12,3.4,3,12,3.4,3,2,3,14,26,25,17,0,12,8,10,5,0,1
37,1,2,26,15,3.6,6,15,3.6,6,3,2,14,16,21,24,18,15,4,9,12,16,1
38,1,3,37,12,3.7,5,12,3.7,5,4,1,20,23,15,19,26,17,16,14,1,5,1
39,1,0,27,5,3.5,3,5,3.5,3,6,5,14,27,22,16,23,8,10,4,12,16,1
40,1,3,28,23,3.3,1,23,3.3,1,2,1,22,21,20,19,0,11,6,3,13,0,1
41,1,2,28,21,3.2,3,21,3.2,3,1,3,27,14,26,17,0,17,4,13,2,0,1
42,1,3,24,2,3.6,4,2,3.6,4,1,5,26,21,23,27,24,3,10,17,12,7,1
43,1,1,39,10,3.7,6,10,3.7,6,3,6,22,16,26,21,25,6,1,8,9,13,1
44,1,3,23,11,3.7,1,11,3.7,1,4,3,22,16,21,23,27,6,5,12,10,9,1
45,1,1,33,13,3.4,2,13,3.4,2,4,3,16,17,26,21,0,14,4,15,9,0,1
46,1,5,34,29,3.4,1,29,3.4,1,2,1,19,27,21,20,0,7,8,14,17,0,1
47,1,5,37,5,3.7,5,5,3.7,5,2,4,23,17,21,27,18,5,11,8,17,15,1
48,1,3,33,11,3.5,1,11,3.5,1,5,3,24,26,27,20,17,16,4,14,7,2,1
49,1,4,24,14,3.3,3,14,3.3,3,3,1,16,27,24,17,0,6,7,2,12,0,1
50,1,5,35,16,3.4,3,16,3.4,3,5,3,27,25,19,21,0,4,16,5,15,0,1
51,1,1,35,16,3.5,2,16,3.5,2,5,3,15,16,23,26,19,16,6,2,4,13,1
52,1,4,32,24,3.3,2,24,3.3,2,2,6,24,27,26,23,0,5,8,11,14,0,1
53,1,1,32,12,3.7,4,12,3.7,4,3,1,21,20,25,17,27,14,4,10,2,1,1
54,1,4,30,19,3.5,5,19,3.5,5,2,6,23,22,15,18,17,9,1,17,14,7,1
55,1,4,32,10,3.5,2,10,3.5,2,2,6,23,25,16,21,24,13,16,2,15,5,1
56,1,0,34,12,3.2,6,12,3.2,6,2,6,20,24,15,16,0,13,2,12,9,0,1
57,1,2,35,2,3.6,2,2,3.6,2,5,2,24,22,21,26,23,8,1,14,13,15,1
58,1,4,30,15,3.5,1,15,3.5,1,4,1,24,23,19,20,26,2,11,10,6,3,1
59,1,4,33,14,3.7,3,14,3.7,3,6,3,21,25,15,20,22,17,1,4,3,13,1
60,1,3,31,17,3.5,1,17,3.5,1,4,6,20,19,15,16,0,3,13,7,11,0,1
61,1,0,24,2,3.6,6,2,3.6,6,3,1,15,20,23,24,26,7,5,10,8,16,1
62,1,5,27,18,3.5,5,18,3.5,5,3,6,19,27,22,20,0,13,7,16,1,0,1
63,1,3,30,12,3.6,6,12,3.6,6,1,2,19,21,14,17,16,12,2,6,16,3,1
64,1,3,31,20,3.2,2,20,3.2,2,6,2,20,27,24,16,0,10,3,17,14,0,1
65,1,2,22,5,3.7,1,5,3.7,1,1,4,19,26,24,16,18,7,6,16,2,3,1
66,1,3,25,14,3.7,3,14,3.7,3,1,5,16,25,17,15,19,2,4,5,1,10,1
67,1,4,33,13,3.4,1,13,3.4,1,5,2,17,22,16,27,0,17,10,12,7,0,1
68,1,4,25,12,3.6,1,12,3.6,1,3,5,17,20,27,26,19,10,16,11,14,7,1
69,1,1,30,16,3.7,2,16,3.7,2,5,1,15,24,17,25,21,6,15,7,12,2,1
70,1,5,38,11,3.4,4,11,3.4,4,1,4,14,17,16,26,0,5,15,2,14,0,1
71,1,3,30,14,3.6,6,14,3.6,6,2,5,14,23,27,26,24,13,5,4,9,3,1
72,1,1,22,9,3.6,2,9,3.6,2,3,4,18,24,20,17,26,11,13,10,17,3,1
73,1,2,25,7,3.6,4,7,3.6,4,1,4,22,17,24,18,23,9,1,15,12,10,1
74,1,4,38,17,3.7,5,17,3.7,5,1,5,16,21,25,26,15,8,17,5,9,12,1
75,1,4,29,16,3.5,2,16,3.5,2,3,6,17,25,26,16,0,2,10,8,3,0,1
76,1,2,36,10,3.7,1,10,3.7,1,3,5,20,18,24,25,27,8,6,2,1,13,1
77,1,1,26,23,3.5,1,23,3.5,1,2,5,19,23,22,26,0,13,17,9,12,0,1
78,1,0,39,9,3.5,6,9,3.5,6,1,5,19,27,14,21,24,6,14,13,12,3,1
79,1,1,35,23,3.5,2,23,3.5,2,1,5,24,26,14,23,0,5,1,10,6,0,1
80,1,0,31,15,3.5,5,15,3.5,5,4,5,24,21,23,14,19,3,1,6,15,12,1
81,1,4,36,8,3.5,5,8,3.5,5,6,1,15,21,20,19,23,17,5,10,11,14,1
82,1,4,37,20,3.2,2,20,3.2,2,6,5,27,24,16,25,0,4,16,10,5,0,1
83,1,1,37,20,3.2,2,20,3.2,2,6,5,23,22,24,17,0,1,5,7,13,0,1
84,1,2,22,4,3.7,5,4,3.7,5,4,1,24,20,14,22,19,12,8,2,11,6,1
85,1,4,39,28,3.5,6,28,3.5,6,4,2,17,26,18,25,0,2,16,5,8,0,1
86,1,3,37,7,3.6,3,7,3.6,3,4,2,16,27,24,15,25,15,17,14,5,10,1
87,1,0,35,25,3.3,5,25,3.3,5,2,5,22,15,14,27,0,9,4,6,15,0,1
88,1,4,29,13,3.6,6,13,3.6,6,4,3,14,18,17,22,21,9,6,15,14,4,1
89,1,1,28,13,3.4,5,13,3.4,5,6,4,24,19,20,15,0,17,11,7,6,0,1
90,1,2,23,14,3.3,3,14,3.3,3,3,6,17,15,27,25,0,7,3,17,2,0,1
91,1,5,22,8,3.5,4,8,3.5,4,3,4,14,18,24,16,27,3,16,11,14,6,1
92,1,3,38,18,3.7,5,18,3.7,5,6,5,15,18,26,23,24,12,8,4,16,1,1
93,1,0,26,12,3.6,5,12,3.6,5,5,3,20,15,26,23,16,2,7,11,12,9,1
94,1,1,23,27,3.5,3,27,3.5,3,1,3,27,18,20,17,0,10,3,8,5,0,1
95,1,5,22,10,3.5,4,10,3.5,4,2,1,20,21,24,16,0,12,14,9,7,0,1
96,1,1,27,9,3.6,5,9,3.6,5,5,6,27,18,26,19,17,9,16,3,4,8,1
97,1,1,38,23,3.3,6,23,3.3,6,2,5,19,20,18,14,0,2,11,10,17,0,1
98,1,5,36,17,3.7,2,17,3.7,2,6,5,20,23,16,18,22,9,17,8,16,14,1
99,1,5,23,7,3.6,6,7,3.6,6,3,5,27,20,19,21,17,15,7,11,5,12,1
100,1,4,32,1,3.7,6,1,3.7,6,4,5,14,24,22,17,16,15,11,6,7,1,1
101,1,2,35,9,3.7,5,9,3.7,5,4,5,19,16,27,14,15,14,11,6,15,3,1
102,1,3,24,19,3.6,4,19,3.6,4,1,3,18,15,17,19,23,16,5,9,11,13,1
103,1,2,24,19,3.5,1,19,3.5,1,4,2,22,24,15,26,20,7,13,3,12,1,1
104,1,2,38,18,3.3,2,18,3.3,2,5,2,15,14,20,23,0,13,5,12,2,0,1
105,1,2,34,16,3.3,5,16,3.3,5,6,4,27,20,15,21,0,8,9,13,17,0,1
106,1,2,37,16,3.7,4,16,3.7,4,4,1,22,15,14,25,26,17,14,1,12,4,1
107,1,5,28,17,3.7,2,17,3.7,2,2,6,25,20,19,24,17,4,13,8,5,17,1
108,1,3,24,8,3.7,1,8,3.7,1,4,2,20,26,19,25,15,1,6,5,15,3,1
109,1,3,22,11,3.7,3,11,3.7,3,5,4,17,24,20,26,16,3,17,5,4,12,1
110,1,0,39,14,3.7,6,14,3.7,6,4,6,26,20,27,22,19,3,15,8,11,12,1
111,1,0,38,8,3.6,1,8,3.6,1,1,6,21,20,17,22,18,4,9,14,13,8,1
112,1,1,38,4,3.5,5,4,3.5,5,3,4,14,19,23,24,22,12,5,10,8,1,1
113,1,0,38,10,3.5,1,10,3.5,1,6,4,20,24,14,23,0,13,11,2,14,0,1
114,1,2,25,19,3.5,2,19,3.5,2,2,6,17,22,18,21,0,16,5,15,8,0,1
115,1,3,29,19,3.6,6,19,3.6,6,4,5,19,27,21,23,14,17,15,6,8,13,1
116,1,1,30,4,3.7,5,4,3.7,5,4,3,21,26,20,27,17,11,10,12,4,7,1
117,1,5,35,15,3.6,3,15,3.6,3,1,3,16,26,14,27,24,2,13,4,5,15,1
118,1,1,36,18,3.2,4,18,3.2,4,3,6,25,20,19,23,0,10,11,2,3,0,1
119,1,1,29,23,3.4,5,23,3.4,5,3,2,20,17,14,18,0,16,13,10,5,0,1
120,1,1,26,13,3.2,1,13,3.2,1,6,1,16,23,19,18,0,10,1,11,2,0,1
121,1,4,33,27,3.4,6,27,3.4,6,5,2,15,26,19,22,0,6,9,1,12,0,1
122,1,0,32,23,3.2,5,23,3.2,5,5,2,23,27,20,19,0,3,8,6,12,0,1
123,1,3,24,27,3.2,1,27,3.2,1,3,4,24,14,25,20,0,4,13,2,9,0,1
124,1,0,33,15,3.3,5,15,3.3,5,6,3,23,20,17,27,0,8,13,14,17,0,1
125,1,2,24,29,3.5,5,29,3.5,5,2,6,18,19,17,24,0,4,6,2,8,0,1
126,1,4,31,16,3.6,1,16,3.6,1,4,3,27,17,15,16,25,15,13,8,4,16,1
127,1,2,35,6,3.5,5,6,3.5,5,2,6,16,27,25,26,24,1,9,10,11,7,1
128,1,0,27,28,3.5,4,28,3.5,4,4,5,26,21,15,18,0,8,9,12,4,0,1
129,1,5,22,8,3.5,1,8,3.5,1,6,1,17,14,25,23,19,10,1,9,5,16,1
130,1,3,24,12,3.3,2,12,3.3,2,3,1,24,19,27,23,0,5,8,4,6,0,1
131,1,5,25,15,3.5,6,15,3.5,6,2,3,15,22,24,18,0,17,3,7,9,0,1
132,1,4,33,28,3.4,4,28,3.4,4,6,3,23,27,24,25,0,12,4,6,1,0,1
133,1,1,34,4,3.7,6,4,3.7,6,4,6,25,18,27,22,21,16,12,11,8,1,1
134,1,0,27,9,3.7,3,9,3.7,3,4,1,19,17,16,22,21,12,4,9,15,16,1
135,1,1,26,14,3.5,3,14,3.5,3,1,5,14,16,19,15,27,7,16,11,5,15,1
136,1,4,23,27,3.5,1,27,3.5,1,5,4,22,20,27,15,0,13,1,11,15,0,1
137,1,3,29,23,3.4,2,23,3.4,2,5,1,25,27,17,20,0,15,1,12,6,0,1
138,1,2,22,11,3.2,6,11,3.2,6,6,1,27,19,18,26,0,9,14,11,2,0,1
139,1,2,35,10,3.5,2,10,3.5,2,2,3,24,14,26,16,0,7,8,13,11,0,1
140,1,3,38,10,3.5,4,10,3.5,4,6,1,24,15,18,14,20,4,7,3,10,2,1
141,1,4,31,10,3.6,1,10,3.6,1,3,1,21,15,27,18,22,5,4,14,1,11,1
142,1,4,36,14,3.5,2,14,3.5,2,4,5,21,26,18,24,0,13,8,11,15,0,1
143,1,5,39,6,3.7,6,6,3.7,6,6,2,21,25,23,16,19,2,16,12,17,8,1
144,1,4,33,15,3.4,4,15,3.4,4,5,2,18,16,24,17,0,15,2,16,12,0,1
145,1,0,36,15,3.3,1,15,3.3,1,5,3,22,23,20,14,0,9,4,7,14,0,1
146,1,1,36,7,3.5,2,7,3.5,2,1,6,24,26,27,20,18,16,2,11,5,6,1
147,1,3,33,23,3.3,6,23,3.3,6,5,2,15,26,18,23,0,11,5,9,7,0,1
148,1,4,33,21,3.2,6,21,3.2,6,6,3,23,19,18,27,0,8,10,6,16,0,1
149,1,0,22,14,3.5,1,14,3.5,1,1,3,23,18,25,14,0,7,13,16,8,0,1
150,1,5,27,17,3.7,2,17,3.7,2,2,6,27,16,19,26,20,11,8,10,9,16,1
151,1,2,23,18,3.5,6,18,3.5,6,1,3,25,26,14,21,15,7,4,1,5,2,1
152,1,4,37,22,3.2,6,22,3.2,6,5,6,17,26,15,21,0,13,4,15,8,0,1
153,1,4,37,2,3.7,4,2,3.7,4,4,6,27,17,16,22,18,9,3,2,12,7,1
154,1,4,28,11,3.4,4,11,3.4,4,3,2,25,16,20,24,0,10,3,16,12,0,1
155,1,1,39,15,3.5,4,15,3.5,4,4,5,19,20,15,21,0,5,11,1,4,0,1
156,1,0,22,13,3.5,3,13,3.5,3,3,6,14,27,25,15,0,17,12,1,4,0,1
157,1,0,27,14,3.7,6,14,3.7,6,6,2,19,17,15,25,22,2,13,1,14,4,1
158,1,5,31,4,3.5,3,4,3.5,3,3,4,16,26,24,14,21,3,6,12,16,1,1
159,1,3,29,11,3.2,6,11,3.2,6,4,1,25,14,27,24,0,17,14,7,15,0,1
160,1,3,39,18,3.5,5,18,3.5,5,6,3,25,16,22,18,0,8,10,4,15,0,1
161,1,3,37,12,3.5,3,12,3.5,3,6,1,18,14,16,23,0,15,16,10,9,0,1
162,1,0,38,23,3.3,5,23,3.3,5,6,1,23,19,22,20,0,5,6,2,13,0,1
163,1,0,28,24,3.3,1,24,3.3,1,3,4,17,19,23,21,0,6,4,1,12,0,1
164,1,2,31,11,3.2,4,11,3.2,4,6,2,18,14,17,19,0,16,14,17,3,0,1
165,1,0,27,12,3.5,2,12,3.5,2,4,3,26,24,14,16,18,1,4,12,16,15,1
166,1,1,37,3,3.6,2,3,3.6,2,3,2,20,22,14,16,23,16,17,12,5,14,1
167,1,3,29,25,3.4,3,25,3.4,3,3,1,24,25,23,15,0,14,9,13,11,0,1
168,1,2,33,25,3.3,6,25,3.3,6,6,2,20,16,27,14,0,9,12,17,6,0,1
169,1,4,25,17,3.5,6,17,3.5,6,4,3,23,26,24,17,22,1,2,3,10,13,1
170,1,2,33,26,3.5,4,26,3.5,4,2,6,23,25,26,27,0,6,15,7,16,0,1
171,1,3,26,19,3.3,3,19,3.3,3,1,4,21,20,14,23,0,3,13,10,5,0,1
172,1,5,35,14,3.7,4,14,3.7,4,4,6,23,20,24,25,27,8,4,5,11,14,1
173,1,4,27,11,3.6,2,11,3.6,2,4,3,16,23,27,21,24,15,12,4,17,8,1
174,1,1,37,10,3.4,2,10,3.4,2,3,1,24,20,15,19,0,10,14,17,5,0,1
175,1,1,22,19,3.7,2,19,3.7,2,5,3,25,26,20,17,27,6,8,4,13,16,1
176,1,4,29,24,3.4,1,24,3.4,1,2,6,25,19,14,22,0,14,7,16,12,0,1
177,1,0,36,27,3.2,6,27,3.2,6,4,5,23,14,15,24,0,1,2,9,7,0,1
178,1,3,29,18,3.3,5,18,3.3,5,4,6,26,25,19,16,0,6,4,7,15,0,1
179,1,5,22,5,3.7,1,5,3.7,1,4,3,21,27,22,26,23,1,3,10,14,11,1
180,1,3,27,12,3.3,5,12,3.3,5,3,1,17,24,19,16,0,3,14,16,5,0,1
181,1,2,23,20,3.3,2,20,3.3,2,4,3,25,24,26,19,0,6,11,8,16,0,1
182,1,1,35,16,3.7,4,16,3.7,4,1,6,23,24,19,25,21,6,15,3,8,10,1
183,1,3,27,16,3.4,1,16,3.4,1,5,1,17,27,16,15,0,17,2,11,3,0,1
184,1,0,35,15,3.3,6,15,3.3,6,2,6,23,24,16,15,0,12,1,11,9,0,1
185,1,5,31,10,3.2,1,10,3.2,1,1,6,17,18,24,22,0,14,12,13,10,0,1
186,1,0,22,11,3.5,1,11,3.5,1,6,3,24,18,20,25,16,14,16,15,2,11,1
187,1,2,28,13,3.4,3,13,3.4,3,4,1,25,15,16,18,0,17,11,1,7,0,1
188,1,0,33,7,3.5,2,7,3.5,2,6,2,23,26,24,16,21,14,15,2,13,6,1
189,1,1,31,7,3.6,4,7,3.6,4,1,3,15,19,22,26,20,3,6,13,5,4,1
190,1,0,29,14,3.5,3,14,3.5,3,3,2,26,19,24,18,0,7,11,17,14,0,1
191,1,3,32,6,3.7,5,6,3.7,5,2,1,20,18,27,14,22,16,5,6,1,4,1
192,1,5,37,2,3.5,2,2,3.5,2,2,3,23,17,19,24,14,9,2,16,1,11,1
193,1,5,34,15,3.5,4,15,3.5,4,2,1,22,14,19,23,0,1,17,12,11,0,1
194,1,1,32,27,3.2,6,27,3.2,6,6,1,19,21,17,23,0,13,10,17,11,0,1
195,1,1,28,29,3.2,6,29,3.2,6,2,3,16,22,20,26,0,17,13,11,10,0,1
196,1,3,29,26,3.3,6,26,3.3,6,1,4,17,20,14,27,0,14,10,8,4,0,1
197,1,4,32,18,3.4,6,18,3.4,6,6,2,21,26,24,25,0,17,11,15,10,0,1
198,1,1,39,4,3.7,4,4,3.7,4,5,6,18,15,14,17,27,7,17,3,15,10,1
199,1,1,25,4,3.5,6,4,3.5,6,1,4,25,14,27,23,16,2,1,11,10,15,1
200,1,3,26,10,3.3,6,10,3.3,6,2,4,18,20,21,16,0,9,13,1,10,0,1
201,1,3,32,2,3.5,3,2,3.5,3,4,2,23,17,25,26,21,3,13,11,12,9,1
202,1,0,27,19,3.7,6,19,3.7,6,6,5,19,25,20,14,18,16,14,8,13,11,1
203,1,1,37,17,3.3,6,17,3.3,6,5,4,15,22,26,23,0,17,14,4,3,0,1
204,1,0,26,24,3.3,5,24,3.3,5,1,5,21,25,27,20,0,17,9,6,2,0,1
205,1,2,24,15,3.4,3,15,3.4,3,2,4,16,24,20,22,0,7,4,2,10,0,1
206,1,5,36,27,3.2,1,27,3.2,1,5,1,26,14,27,15,0,10,11,16,1,0,1
207,1,3,38,13,3.7,4,13,3.7,4,5,1,19,14,15,16,27,4,9,8,1,10,1
208,1,1,37,2,3.7,1,2,3.7,1,6,3,22,21,19,27,16,12,8,1,14,6,1
209,1,4,25,2,3.6,5,2,3.6,5,2,1,18,17,24,27,14,15,3,13,17,10,1
210,1,4,30,24,3.2,5,24,3.2,5,1,2,22,19,16,24,0,14,8,6,11,0,1
211,1,2,32,21,3.2,3,21,3.2,3,5,2,23,19,24,26,0,15,11,10,16,0,1
212,1,3,32,27,3.2,1,27,3.2,1,2,1,19,24,20,15,0,15,14,12,4,0,1
213,1,0,30,8,3.6,6,8,3.6,6,4,5,20,17,15,22,24,6,13,9,7,4,1
214,1,1,36,12,3.5,4,12,3.5,4,4,5,17,23,19,27,15,17,8,14,10,3,1
215,1,1,27,24,3.3,4,24,3.3,4,4,6,19,24,25,20,0,16,8,12,5,0,1
216,1,0,32,18,3.6,4,18,3.6,4,5,1,25,27,22,18,17,15,13,2,16,9,1
217,1,0,34,15,3.3,2,15,3.3,2,5,4,15,20,19,17,0,3,8,16,5,0,1
218,1,1,28,8,3.6,2,8,3.6,2,5,1,24,14,18,22,23,7,13,11,8,17,1
219,1,4,29,12,3.5,1,12,3.5,1,2,1,26,15,22,23,21,4,17,9,10,7,1
220,1,3,27,29,3.2,6,29,3.2,6,1,4,14,15,25,18,0,13,4,10,6,0,1
221,1,5,23,19,3.5,3,19,3.5,3,4,2,27,19,22,16,0,9,3,7,17,0,1
222,1,5,25,12,3.5,6,12,3.5,6,1,4,27,26,23,19,0,6,1,14,2,0,1
223,1,5,37,3,3.7,6,3,3.7,6,1,5,16,26,17,23,25,6,7,15,17,8,1
224,1,4,35,22,3.5,4,22,3.5,4,4,3,16,22,23,24,0,13,16,8,4,0,1
225,1,0,23,25,3.3,1,25,3.3,1,6,5,18,24,22,27,0,6,15,11,16,0,1
226,1,0,23,1,3.7,6,1,3.7,6,2,3,19,27,20,25,24,10,1,3,7,6,1
227,1,1,37,10,3.5,4,10,3.5,4,2,6,23,25,19,18,0,14,15,17,1,0,1
228,1,2,37,14,3.6,6,14,3.6,6,2,6,20,23,24,21,16,16,1,11,17,6,1
229,1,1,22,15,3.5,1,15,3.5,1,4,1,24,27,22,14,18,4,7,15,17,3,1
230,1,0,30,23,3.3,4,23,3.3,4,1,6,24,25,15,26,0,1,6,2,16,0,1
231,1,5,35,2,3.6,2,2,3.6,2,2,4,25,21,17,24,20,5,14,4,2,17,1
232,1,3,28,13,3.7,1,13,3.7,1,2,4,16,24,14,21,25,6,4,2,17,13,1
233,1,1,34,16,3.2,1,16,3.2,1,2,6,23,19,22,21,0,9,10,7,16,0,1
234,1,3,39,1,3.5,1,1,3.5,1,6,1,25,17,14,20,26,10,9,12,1,6,1
235,1,0,27,27,3.4,3,27,3.4,3,4,2,19,26,16,22,0,15,2,12,3,0,1
236,1,2,36,13,3.2,4,13,3.2,4,1,5,15,22,23,14,0,3,2,8,1,0,1
237,1,4,35,14,3.2,5,14,3.2,5,4,2,19,22,24,15,0,6,10,5,4,0,1
238,1,1,38,26,3.5,2,26,3.5,2,3,6,22,24,17,16,0,12,8,1,17,0,1
239,1,2,33,6,3.7,5,6,3.7,5,6,2,21,26,22,24,18,14,2,7,15,3,1
240,1,5,28,29,3.3,6,29,3.3,6,5,1,14,20,15,27,0,5,13,10,7,0,1
241,1,5,26,28,3.2,3,28,3.2,3,5,2,21,23,16,19,0,14,16,3,12,0,1
242,1,5,22,17,3.4,3,17,3.4,3,2,5,24,23,26,18,0,3,2,16,11,0,1
243,1,5,34,26,3.4,1,26,3.4,1,4,6,21,25,23,19,0,2,16,13,15,0,1
244,1,2,39,28,3.3,2,28,3.3,2,2,6,26,18,25,14,0,17,10,13,14,0,1
245,1,5,23,17,3.7,4,17,3.7,4,6,5,14,15,26,23,27,10,8,1,3,9,1
246,1,2,37,14,3.2,2,14,3.2,2,4,3,22,21,27,25,0,9,17,7,8,0,1
247,1,3,24,24,3.5,6,24,3.5,6,1,4,25,15,17,14,0,15,14,8,6,0,1
248,1,1,25,13,3.6,3,13,3.6,3,5,4,25,23,22,26,14,7,12,16,11,8,1
249,1,3,30,10,3.7,6,10,3.7,6,5,6,15,19,26,25,17,10,2,14,3,16,1
250,1,2,34,23,3.2,4,23,3.2,4,5,2,16,23,20,21,0,4,17,9,1,0,1
251,1,4,24,23,3.5,2,23,3.5,2,4,2,22,27,18,23,0,1,4,3,14,0,1
252,1,3,33,11,3.3,6,11,3.3,6,5,1,27,16,26,25,0,10,16,3,13,0,1
253,1,3,35,20,3.3,5,20,3.3,5,3,4,22,25,16,18,0,10,9,3,4,0,1
254,1,1,27,19,3.2,5,19,3.2,5,3,4,15,23,16,26,0,4,5,7,16,0,1
255,1,5,37,16,3.5,4,16,3.5,4,4,2,17,15,26,23,0,1,5,6,10,0,1
256,1,1,26,15,3.5,1,15,3.5,1,4,1,16,18,24,26,27,14,16,8,17,2,1
257,1,0,24,9,3.6,6,9,3.6,6,2,5,24,14,18,21,23,10,2,11,6,8,1
258,1,1,38,3,3.7,1,3,3.7,1,5,4,27,20,25,26,24,14,9,13,4,8,1
259,1,2,35,14,3.7,4,14,3.7,4,4,1,14,21,19,26,23,12,15,6,13,3,1
260,1,4,39,18,3.4,5,18,3.4,5,6,3,17,26,15,22,0,4,10,3,8,0,1
261,1,3,27,3,3.5,3,3,3.5,3,4,5,26,19,21,15,16,2,11,17,12,15,1
262,1,1,31,12,3.6,3,12,3.6,3,4,2,27,20,24,14,23,13,7,2,11,10,1
263,1,2,39,11,3.6,5,11,3.6,5,6,1,26,22,19,25,14,5,1,11,2,16,1
264,1,4,36,19,3.2,4,19,3.2,4,3,4,14,21,17,27,0,4,1,6,5,0,1
265,1,4,38,23,3.4,5,23,3.4,5,5,3,16,26,25,17,0,4,8,6,3,0,1
266,1,0,23,11,3.7,1,11,3.7,1,3,4,17,15,23,14,24,3,13,14,16,8,1
267,1,3,23,15,3.7,4,15,3.7,4,2,3,24,23,26,25,20,13,2,16,1,11,1
268,1,5,29,20,3.4,2,20,3.4,2,5,6,16,14,24,20,0,9,16,1,2,0,1
269,1,4,27,24,3.3,6,24,3.3,6,1,4,18,17,20,27,0,5,2,14,10,0,1
270,1,3,29,19,3.7,1,19,3.7,1,2,3,22,20,18,14,23,11,14,2,3,8,1
271,1,4,36,18,3.5,4,18,3.5,4,1,3,18,23,15,27,21,14,5,2,6,17,1
272,1,3,32,22,3.2,1,22,3.2,1,6,4,14,24,19,27,0,2,12,5,4,0,1
273,1,4,25,18,3.5,5,18,3.5,5,2,6,17,24,15,16,18,2,7,1,8,6,1
